	E4	E5	E6	E1	E2	E3	D10	D11	D12	D7	D8	D9	D4	D5	D6	D1	D2	D3
641569	27	3	17	5	1	4	2	0	0	0	0	0	0	3	0	0	0	3
641570	118	16	86	55	18	47	24	54	2	65	53	22	4	125	39	0	74	84
641571	137	26	54	41	23	20	18	18	0	35	45	0	10	72	16	0	80	47
641572	34	10	48	13	9	13	8	9	0	12	12	0	5	13	16	0	31	21
641574	49	17	13	31	7	0	3	24	0	7	23	0	6	14	25	0	8	5
641575	137	38	84	63	13	57	25	34	0	75	22	12	15	85	50	0	66	34
641576	41	9	24	11	18	12	21	11	0	23	2	0	8	25	13	0	31	29
641577	87	14	47	45	30	48	14	22	0	70	37	9	7	103	32	0	91	35
641578	186	23	108	27	36	48	80	23	6	77	33	8	18	120	55	0	80	98
641580	0	9	8	9	4	14	1	23	0	0	0	0	3	17	8	0	12	7
641582	19	0	1	0	3	0	0	4	0	4	0	0	0	8	0	0	0	4
641583	32	0	24	7	4	9	0	16	0	4	5	0	5	48	1	0	33	20
64260	0	0	0	0	0	5	0	9	0	773	54	0	11	1678	762	0	174	291
64263	261	71	240	69	41	61	110	131	5	165	150	22	88	231	166	0	287	104
64264	31	6	20	24	1	13	10	10	3	20	6	1	4	15	13	0	7	13
64265	161	41	145	31	26	53	51	65	0	103	105	26	25	76	59	0	142	106
64267	2373	402	1150	1251	410	770	430	683	39	1185	808	191	294	1488	887	0	1305	759
64269	522	158	435	236	70	267	147	138	6	229	110	40	55	471	439	0	486	228
64270	199	50	145	72	49	96	28	90	6	82	56	13	21	271	65	0	112	99
64271	248	91	263	97	65	131	52	42	8	234	194	72	72	229	197	0	232	122
64272	612	114	365	266	159	234	189	180	15	311	152	59	69	454	171	0	333	218
64273	404	68	226	171	68	120	71	147	16	228	165	26	66	335	127	0	282	95
64274	115	45	58	124	49	69	45	38	2	106	35	9	32	123	26	0	157	28
64275	176	73	119	49	51	67	53	29	0	101	62	0	25	136	73	0	103	41
64276	89	13	44	45	16	9	11	21	0	48	45	1	13	66	31	0	79	41
64277	397	77	209	196	49	68	63	57	6	312	40	12	20	318	96	0	241	96
