	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
394184	5.456152463	4.950271263	5.334252051	5.300381503	4.756415677	4.826800851	5.322558219	5.088347293	4.729102957	5.173231413	4.838728299	4.779806866	5.179779576	4.786625209	4.679848125	4.767001844	5.000668715	4.92324002	4.752548109	4.947018136	5.014990197
394188	5.083943499	4.969432861	5.324322038	5.215451425	4.996247765	5.080911685	5.252579819	5.011190606	5.239983499	5.217310541	4.861748377	5.147904565	4.997967353	4.817530572	5.300031023	5.037633492	5.262204362	4.98623667	4.939233929	5.496579524	4.996299939
394189	4.802365878	4.895223949	4.869277182	4.851860047	4.820756337	4.897739849	5.21987511	4.802878344	4.972090631	5.022703266	4.870029073	5.041476936	4.983768998	4.890563317	5.072212182	4.97265394	5.00965768	4.896998218	4.926488539	4.971491738	4.960107215
394194	9.847553283	9.79986171	9.730065907	9.758505107	9.899151465	9.769422116	10.0122209	9.907447875	9.964349586	10.17006255	9.8948548	9.951306127	9.922611009	9.987286105	9.860219253	9.999208596	9.976086373	9.837606936	9.837669014	9.976364508	10.07148574
394197	3.951846521	3.841991803	4.193554642	3.846027397	3.714678189	3.526347121	3.672212973	3.614470073	3.454725962	3.786782268	3.523841745	3.509349064	3.685422016	3.786089155	3.607376036	3.70016599	3.770401227	3.647104163	3.49889792	3.547139613	3.510936414
394198	3.307715147	4.514458512	5.608316239	5.550019561	3.108228495	2.681182976	2.828035248	2.480495755	2.63435088	3.452722789	2.803910059	3.301466479	3.565248034	3.850266114	3.585410466	4.282188056	3.714322592	4.411343599	4.961895672	4.071117556	4.552705948
394203	3.509110074	3.242233731	3.327911577	2.993585981	3.319537583	3.37118093	3.364027578	3.28248853	3.625097623	3.34404908	3.363004981	3.733069657	3.586880007	3.255792294	3.596435055	3.643038675	3.351103676	3.560587298	3.471082189	3.592026201	3.679744604
394209	5.584646965	6.079416896	5.823339781	5.973095111	5.392006849	5.561631138	5.662287037	5.257898167	5.530750967	5.688584696	5.487043288	5.490796457	5.664811903	5.436907762	5.383548902	5.779107673	5.167387341	5.75390781	5.686848489	4.912042264	5.684746166
394210	2.690203132	2.910695464	3.043140721	3.207562665	3.04276179	3.017848914	2.643065372	2.803139928	2.891103701	2.59402216	3.071407431	2.585141174	3.006675748	2.904981965	2.544579295	2.870306657	2.516549962	2.803415728	2.912112744	2.032154391	2.838880394
394213	2.003034407	1.811573626	2.465109302	2.181483931	2.275048182	2.2097259	2.359527872	2.314636971	2.08996969	2.266038138	2.431171814	1.963333004	2.384218503	2.289942342	1.929269894	2.064742598	2.595092003	2.359472319	1.821076077	2.122347235	2.070281808
394235	8.487776765	8.445859636	8.531088588	8.445192546	8.240251178	8.370473298	8.386745415	8.243118074	8.347105291	8.376053158	8.284290633	8.380423609	8.398838352	8.295800562	8.438941911	8.435369975	8.477400947	8.427396503	8.154468537	8.285501695	8.358269143
394236	1.78539655	1.89411066	1.412606178	1.981300373	1.590890166	1.698931434	1.965698444	1.402531472	1.442613603	0.858176846	1.794347585	1.750515103	1.7792011	1.078169875	1.575266741	1.879305189	0.678186801	1.714900259	1.753406739	1.059889547	1.659563137
394239	3.539274122	3.743026533	3.891240306	3.82124852	3.556885966	3.637115859	3.430162539	3.261600011	3.294213788	3.338909414	3.339343766	3.382972345	3.592237698	2.939109067	3.312074246	3.49593086	3.164092507	3.570109058	3.399102005	3.267735504	3.64656767
394240	6.430241901	6.641887189	6.500946839	6.609391332	6.428157023	6.548657248	6.354915695	6.238695455	6.266038323	6.194587037	6.391124266	6.279961431	6.457503371	6.27284263	6.486602426	6.375116643	6.243288048	6.561248277	6.296552169	6.158431921	6.266628497
394241	3.467884502	2.910695464	3.424032248	3.28933584	3.300991127	3.392391786	3.36922392	3.074657493	3.36520197	3.364426573	2.895993989	3.388245779	3.222431345	2.701323743	3.488135559	3.15817113	3.674181196	3.399016438	3.002328702	3.487296969	3.140682423
394242	3.514181416	3.414313395	3.321269976	3.62904685	3.459904196	3.349653568	3.651036162	3.451873585	3.403180979	3.297119301	3.497359565	3.570935493	3.526593604	3.205272096	3.383824537	3.384162862	3.444218794	3.299493089	3.539641097	3.43897354	3.468172127
394243	6.606192212	6.474939001	6.740063736	6.604316828	6.447960314	6.46853432	6.544845807	6.309097386	6.473492707	6.598879542	6.213799021	6.595338368	6.59795446	6.133646394	6.583284818	6.541701025	6.635281741	6.542426149	6.245128881	6.709056411	6.669545192
